@RELATION navigationNodeId

@ATTRIBUTE class {24f40f8f-18d2-4782-bc77-7e7b8584fa37,d40961c5-d32b-48fd-bf81-0b7fb3e971b1,52947b45-46fb-476d-8bf4-7dcaa483794e,9410735c-c72e-4d92-9442-87ffa358e0bf,a717d791-1446-4e7c-af71-bf44e4b63209,c319e494-e10c-45eb-932f-9b2dec9e4b66,65254703-5380-4dc2-b24a-39bdc77ccb79,cd8a318c-a3cf-4952-982a-5fba7f456f64}
@ATTRIBUTE c6:9f:db:8f:b6:6f NUMERIC
@ATTRIBUTE c2:9f:db:8f:b6:6f NUMERIC
@ATTRIBUTE 6a:e9:8f:a5:03:4e NUMERIC
@ATTRIBUTE ca:9f:db:8f:0d:a6 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:87 NUMERIC
@ATTRIBUTE 04:18:d6:32:e3:57 NUMERIC
@ATTRIBUTE a0:63:91:08:b0:5e NUMERIC
@ATTRIBUTE c6:9f:db:f7:45:31 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b6:6f NUMERIC
@ATTRIBUTE 00:23:69:ab:9a:11 NUMERIC
@ATTRIBUTE 2c:59:8a:5e:35:97 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:87 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:50 NUMERIC
@ATTRIBUTE 00:24:01:a9:5f:2a NUMERIC
@ATTRIBUTE ca:9f:db:8f:0d:9d NUMERIC
@ATTRIBUTE c8:b3:73:41:b3:47 NUMERIC
@ATTRIBUTE c2:9f:db:8f:0d:9d NUMERIC
@ATTRIBUTE c2:9f:db:8f:0d:a6 NUMERIC
@ATTRIBUTE c6:9f:db:8f:0d:a6 NUMERIC
@ATTRIBUTE 00:25:9c:cf:7c:d5 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:87 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b6:5a NUMERIC
@ATTRIBUTE 00:12:17:c6:de:5b NUMERIC
@ATTRIBUTE 00:90:4c:5f:00:2a NUMERIC
@ATTRIBUTE 4e:66:41:70:ea:2c NUMERIC
@ATTRIBUTE 78:54:2e:9e:9e:d4 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b7:10 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:50 NUMERIC
@ATTRIBUTE e8:50:8b:bd:fd:0a NUMERIC
@ATTRIBUTE 62:f4:45:ae:70:9c NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:50 NUMERIC
@ATTRIBUTE c6:9f:db:8f:0d:9d NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:88 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b7:10 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:88 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b7:10 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:cb NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:cb NUMERIC
@ATTRIBUTE c6:9f:db:8f:b6:3e NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:8f NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:dd NUMERIC
@ATTRIBUTE a4:ca:a0:63:cf:de NUMERIC
@ATTRIBUTE 00:23:69:bb:58:56 NUMERIC
@ATTRIBUTE 58:1f:aa:e9:62:a9 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:23 NUMERIC
@ATTRIBUTE 00:1d:b3:4c:91:44 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:dd NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:23 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:dd NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:8f NUMERIC
@ATTRIBUTE c2:9f:db:8f:b6:5a NUMERIC
@ATTRIBUTE b0:c5:54:2d:79:aa NUMERIC
@ATTRIBUTE b0:48:7a:b1:f3:54 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b6:3e NUMERIC
@ATTRIBUTE c6:9f:db:8f:b6:5a NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:cb NUMERIC
@ATTRIBUTE f8:d1:11:56:71:d6 NUMERIC
@ATTRIBUTE c6:9f:db:8f:10:d3 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b6:3e NUMERIC
@ATTRIBUTE e8:cc:18:61:fe:2b NUMERIC
@ATTRIBUTE ca:9f:db:8f:10:d3 NUMERIC
@ATTRIBUTE f8:db:7f:57:87:3e NUMERIC
@ATTRIBUTE 02:90:4c:5f:00:2b NUMERIC
@ATTRIBUTE ca:9f:db:8f:b6:c9 NUMERIC
@ATTRIBUTE c2:9f:db:8f:10:d3 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:f7 NUMERIC
@ATTRIBUTE 00:25:9c:cf:7c:ed NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:88 NUMERIC
@ATTRIBUTE 10:fe:ed:d1:77:8a NUMERIC
@ATTRIBUTE 00:25:9c:4b:93:36 NUMERIC
@ATTRIBUTE ca:9f:db:f7:45:31 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b6:0a NUMERIC
@ATTRIBUTE c0:56:27:c2:63:a1 NUMERIC
@ATTRIBUTE b0:48:7a:ff:07:08 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b6:0a NUMERIC
@ATTRIBUTE c6:9f:db:8f:b6:0a NUMERIC
@ATTRIBUTE ca:9f:db:8f:0d:a7 NUMERIC
@ATTRIBUTE 00:23:69:c0:d4:c1 NUMERIC
@ATTRIBUTE 00:0f:3d:df:43:55 NUMERIC
@ATTRIBUTE c0:56:27:c2:64:f1 NUMERIC
@ATTRIBUTE 00:1a:70:9d:9a:08 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:6e NUMERIC
@ATTRIBUTE 00:1e:e5:45:8d:d5 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:99 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:99 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:e2 NUMERIC
@ATTRIBUTE 2c:56:dc:da:3e:94 NUMERIC
@ATTRIBUTE a0:f3:c1:f8:8a:c6 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:6e NUMERIC
@ATTRIBUTE 44:94:fc:34:15:d4 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:e2 NUMERIC
@ATTRIBUTE a0:f3:c1:f8:8a:c5 NUMERIC
@ATTRIBUTE 4e:66:41:f9:9f:aa NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:20 NUMERIC
@ATTRIBUTE 2c:56:dc:da:3e:98 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:e2 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:30 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:30 NUMERIC
@ATTRIBUTE c6:9f:db:8f:0d:a7 NUMERIC
@ATTRIBUTE c2:9f:db:8f:0d:a7 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:30 NUMERIC
@ATTRIBUTE ce:9f:db:8f:b5:6e NUMERIC
@ATTRIBUTE c2:9f:db:f7:44:f9 NUMERIC
@ATTRIBUTE a8:f7:e0:01:e3:62 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:47 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:20 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:99 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:6e NUMERIC
@ATTRIBUTE c0:56:27:c2:64:f0 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:d9 NUMERIC
@ATTRIBUTE c2:9f:db:8f:b6:c9 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:27 NUMERIC
@ATTRIBUTE 18:d6:c7:34:5d:bc NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:27 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:27 NUMERIC
@ATTRIBUTE 00:30:1b:28:79:84 NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:28 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:28 NUMERIC
@ATTRIBUTE 20:cf:30:b8:04:1a NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:47 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:82 NUMERIC
@ATTRIBUTE 06:27:22:d5:c9:5c NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:8f NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:47 NUMERIC
@ATTRIBUTE 06:27:22:d5:c9:11 NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:23 NUMERIC
@ATTRIBUTE ce:9f:db:8f:b5:fc NUMERIC
@ATTRIBUTE 86:2a:a8:35:9d:0b NUMERIC
@ATTRIBUTE c2:9f:db:8f:b5:fc NUMERIC
@ATTRIBUTE ca:9f:db:8f:b5:fc NUMERIC
@ATTRIBUTE c6:9f:db:8f:b5:fc NUMERIC
@ATTRIBUTE 00:1d:b3:4c:91:43 NUMERIC

@DATA
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-80,?,?,?,?,?,?,?,?,-55,?,?,?,?,-60,-78,?,?,-81,?,?,-63,?,-58,?,?,?,?,?,?,-73,?,?,?,?,?,?,?,-69,?,?,?,-66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-55,?,?,?,?,?,-85,?,?,-62,-92,?,?,?,-73,?,?,?,-86,-74,-80,-80,-66,-64,-81,?,?,?,?,-83,?,?,?,?,?,?,?,?,?,?,?,?,-88,?,?,?,?,?,-65,?,?,?,?,?,?,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-79,?,?,?,?,?,?,?,?,-70,?,?,?,?,-57,-80,?,?,-79,?,?,-59,?,-54,?,?,?,?,?,?,-72,?,?,?,?,?,-82,?,-75,?,?,?,-66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-91,?,?,-82,?,?,?,?,-78,?,?,?,?,-74,-80,?,-66,-64,?,?,?,?,-81,?,?,?,?,?,?,?,?,?,?,?,?,?,-88,-71,?,?,-75,-74,-63,?,-88,?,?,?,?,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-79,?,?,?,?,?,?,?,?,-70,?,?,?,?,-66,-79,?,?,-79,?,?,-65,?,-66,?,?,?,?,-83,?,-77,?,?,?,?,?,-82,?,-71,?,?,?,-69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-91,?,?,-82,?,?,?,?,-78,?,?,?,?,-74,?,?,?,-81,?,?,?,?,-75,?,?,?,?,?,?,?,?,?,?,?,?,?,-88,-71,?,?,-75,-73,-69,?,-88,?,?,?,?,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-66,?,?,?,?,?,?,?,?,-64,?,?,?,?,-58,-71,?,?,-79,?,?,-58,?,-60,?,?,?,?,-79,?,-73,?,?,-87,-78,?,-81,?,-65,?,?,?,-61,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-83,?,-91,?,?,-82,?,?,?,?,-78,?,?,?,?,?,?,?,?,-81,?,?,?,?,-75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-71,?,-88,-75,-73,-69,?,-96,?,?,?,?,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-66,?,?,?,?,?,?,?,?,-64,?,?,?,?,-70,-71,?,?,-79,?,?,-66,?,-60,?,?,?,?,-79,?,-74,?,?,-87,-78,?,-81,?,-59,?,?,?,-70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-71,?,?,?,-83,?,?,?,?,-71,?,?,?,?,-72,?,?,?,?,-70,?,?,-71,-71,?,?,?,?,-75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-71,?,-88,?,-73,-76,?,-96,-83,?,?,?,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-72,?,?,?,?,?,?,?,?,-64,?,?,?,?,-65,-71,?,?,-72,?,?,-60,?,-69,?,?,?,?,-73,?,-70,?,?,-87,-74,?,-81,?,-67,?,?,?,-73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-71,?,?,?,-83,?,-87,?,?,-71,?,?,?,?,-72,?,?,?,?,-70,?,?,-71,-82,?,?,?,?,-70,?,?,?,?,?,?,?,?,?,?,?,?,?,-79,-68,-85,-81,?,-68,-76,?,-96,-83,?,?,?,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-69,?,?,?,?,?,?,?,?,-66,?,?,?,?,-53,-71,?,?,-70,?,?,-56,?,-57,?,-90,?,?,-73,?,-68,?,?,?,-74,?,?,?,-65,?,?,?,-66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-71,?,?,?,-83,?,-87,?,?,-71,?,?,?,?,-80,?,?,?,?,-70,?,?,-71,-82,?,?,?,?,-74,?,?,?,?,?,?,?,?,?,?,?,?,?,-79,-68,-85,-81,?,-68,-71,?,?,-83,?,?,?,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,?,?,-73,?,?,?,?,?,?,?,?,-66,?,?,?,?,-66,-73,?,?,-76,?,?,-64,?,-65,?,-90,?,?,-73,?,-73,?,?,?,-90,?,?,?,-65,?,?,?,-66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-87,?,?,-79,?,?,?,?,-80,?,?,?,?,?,?,?,?,-82,?,?,?,?,-66,?,?,?,?,?,?,?,?,?,?,?,?,?,-79,-60,-85,-81,?,-62,-61,?,-86,?,-80,-78,-86,?
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,-80,?,-76,?,?,?,?,?,?,?,?,-68,?,?,?,?,-65,-77,?,?,-76,?,?,-65,?,-66,?,-90,?,-78,-89,?,-77,?,?,?,-90,?,?,?,-70,?,?,?,-70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-87,?,?,-76,?,?,?,?,-80,?,?,?,?,?,?,?,?,?,?,?,?,?,-66,?,?,?,?,?,?,?,?,?,?,?,?,?,-91,-60,?,?,?,-68,-69,?,-86,?,-80,-78,-86,-86
cd8a318c-a3cf-4952-982a-5fba7f456f64,?,?,?,?,?,?,?,?,?,?,-80,?,-76,?,?,?,?,?,?,?,?,-72,?,?,?,?,-59,-77,?,?,-76,?,?,-62,?,-62,-84,?,?,-78,-89,?,-70,?,?,?,-90,?,?,?,-70,?,?,?,-70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-87,?,?,-76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-58,?,?,?,?,?,?,?,?,?,?,?,?,?,-83,-54,-82,-68,?,-68,-63,?,-86,?,-80,-78,-86,-86
d40961c5-d32b-48fd-bf81-0b7fb3e971b1,?,?,?,?,?,?,?,?,?,?,-87,?,-62,?,?,?,?,?,?,?,?,-79,?,?,?,?,-54,-69,?,?,-63,?,?,-52,?,-49,?,?,-68,-61,-60,-78,-89,-88,-83,-70,-69,-90,-69,-62,-79,-87,-90,-72,-81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
d40961c5-d32b-48fd-bf81-0b7fb3e971b1,?,?,?,?,?,-90,?,?,?,?,-87,?,-52,?,?,?,?,?,?,-89,?,-79,?,-86,?,?,-64,-50,?,?,-51,?,?,-52,?,-64,?,?,-68,?,-60,-78,-89,-88,?,-70,-81,-90,-69,?,-79,-87,?,-72,-81,-73,-80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
d40961c5-d32b-48fd-bf81-0b7fb3e971b1,?,?,?,?,?,-90,?,?,?,?,?,?,-52,?,?,?,?,?,?,-89,?,-79,?,-86,?,?,-58,-57,?,?,-56,?,?,-57,?,-60,-68,?,-75,?,?,-78,?,-88,?,-70,-77,-90,-69,-78,-66,-87,?,-75,-71,-73,-77,-64,-75,-89,-63,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
d40961c5-d32b-48fd-bf81-0b7fb3e971b1,?,?,?,?,?,-90,?,?,?,?,-93,?,-71,?,?,?,?,?,?,-89,?,-77,?,-86,?,?,-57,-64,?,?,-64,?,?,-64,?,-67,-68,?,-75,?,?,?,?,?,?,?,-80,?,?,-78,-74,?,?,-78,-72,-73,-77,-64,-75,-86,-63,-87,-87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
